chem. formula;LG;serial-id;ICSD;source;indirect gap with SOC (eV);direct gap with SOC (eV);topological classification at Ef with SOC;topological subclassification at Ef with SOCe;topological classification at Ef without SOC;topological subclassification at Ef without SOC;experimental;comput. exfoliable; comput. dynamically stable; comput. thermodynamically stable;twistable semimetal;twistable insulator
Ga2 Mg1 Te4;72;1.3.276;n.a.;https://c2db.fysik.dtu.dk/material/1MgGa2Te4-1;0.0766;0.0937;TI;SEBR;Trivial;LCEBR;n.a.;n.a.;Yes;Yes;No;No
Ga2 Sn2 Te2;72;1.3.277;n.a.;https://c2db.fysik.dtu.dk/material/2GaSnTe-1;0.0623;0.0702;TI;SEBR;SM;ESFD;n.a.;n.a.;Yes;Yes;Yes;No
Hf2 S2;72;1.3.286;n.a.;https://c2db.fysik.dtu.dk/material/2HfS-1;0.0414;0.0465;TI;SEBR;SM;ES;n.a.;n.a.;Yes;No;No;No
Hg2 O2;72;1.3.288;n.a.;https://c2db.fysik.dtu.dk/material/2HgO-1;0.1458;0.1458;TI;SEBR;SM;ESFD;n.a.;n.a.;n.a.;Yes;Yes;No
Hg2 Pt4 Se6;72;1.3.289;185808;https://c2db.fysik.dtu.dk/material/2HgPt2Se3-1;0.1396;0.1496;TI;SEBR;SM;ESFD;n.a.;n.a.;Yes;Yes;No;No
Cd4 I4 O4;17;1.3.29;56220;https://c2db.fysik.dtu.dk/material/4CdIO-1;0.0123;0.0417;TI;NLC;SM;ES;n.a.;n.a.;Yes;No;No;No
Hg2 Pt4 Te6;72;1.3.290;n.a.;https://c2db.fysik.dtu.dk/material/2HgPt2Te3-1;0.0983;0.136;TI;SEBR;SM;ESFD;n.a.;n.a.;Yes;Yes;No;No
In2 Se2 Sn2;72;1.3.293;n.a.;https://c2db.fysik.dtu.dk/material/2InSeSn-1;0.0691;0.086;TI;SEBR;SM;ESFD;n.a.;n.a.;Yes;Yes;No;No
P2 S6 Ta2;2;1.3.3;n.a.;https://c2db.fysik.dtu.dk/material/2PTaS3-2;0.0435;0.0684;TI;NLC;SM;NLC-SM;n.a.;n.a.;Yes;No;No;No
Re2 S2;72;1.3.310;n.a.;https://c2db.fysik.dtu.dk/material/2ReS-2;0.2428;0.3047;TI;SEBR;SM;ESFD;n.a.;n.a.;Yes;No;No;Yes
S2 Ti2;72;1.3.317;n.a.;https://c2db.fysik.dtu.dk/material/2STi-1;0.0171;0.0171;TI;SEBR;SM;ES;n.a.;n.a.;Yes;No;No;No
As2 Br2;18;1.3.32;n.a.;https://c2db.fysik.dtu.dk/material/2AsBr-1;0.201;0.201;TI;SEBR;SM;ES;n.a.;n.a.;No;Yes;No;Yes
S2 Zr2;72;1.3.320;n.a.;https://c2db.fysik.dtu.dk/material/2SZr-1;0.0263;0.0348;TI;SEBR;SM;ES;n.a.;n.a.;Yes;No;No;No
S1 Ta2 Te2;72;1.3.321;n.a.;https://c2db.fysik.dtu.dk/material/1STa2Te2-1;0.1465;0.1465;TI;SEBR;SM;ESFD;n.a.;n.a.;Yes;Yes;Yes;No
Se2 Ti2;72;1.3.325;n.a.;https://c2db.fysik.dtu.dk/material/2SeTi-1;0.0196;0.0199;TI;SEBR;SM;ES;n.a.;n.a.;Yes;No;No;No
Se2 Zr2;72;1.3.328;n.a.;https://c2db.fysik.dtu.dk/material/2SeZr-1;0.029;0.0296;TI;SEBR;SM;ES;n.a.;n.a.;Yes;No;No;No
Te2 Ti2;72;1.3.331;n.a.;https://c2db.fysik.dtu.dk/material/2TeTi-5;0.0784;0.0852;TI;SEBR;SM;ES;n.a.;n.a.;Yes;No;No;No
Te2 Zr2;72;1.3.333;n.a.;https://c2db.fysik.dtu.dk/material/2TeZr-5;0.1077;0.1105;TI;SEBR;SM;ES;n.a.;n.a.;Yes;No;Yes;No
Ag2 S2;78;1.3.335;n.a.;https://c2db.fysik.dtu.dk/material/2AgS-2;0.0386;0.0521;TI;NLC;SM;ESFD;n.a.;n.a.;n.a.;Yes;No;No
Ag2 Se2;78;1.3.336;n.a.;https://c2db.fysik.dtu.dk/material/2AgSe-3;0.014;0.0303;TI;NLC;SM;ES;n.a.;n.a.;n.a.;Yes;No;No
Au2 Te2;78;1.3.341;n.a.;https://c2db.fysik.dtu.dk/material/2AuTe-3;0.0151;0.0234;TI;NLC;SM;ES;n.a.;n.a.;Yes;Yes;Yes;No
Au1 I1;78;1.3.342;n.a.;https://c2db.fysik.dtu.dk/material/1AuI-1;0.0486;0.0849;TI;NLC;SM;ESFD;n.a.;n.a.;Yes;Yes;No;No
I2 Re2;18;1.3.38;n.a.;https://c2db.fysik.dtu.dk/material/2IRe-1;0.0371;0.1092;TI;SEBR;SM;ES;n.a.;n.a.;Yes;No;No;No
I2 Sb2;18;1.3.39;n.a.;https://c2db.fysik.dtu.dk/material/2ISb-1;0.4148;0.4148;TI;SEBR;SM;ES;n.a.;n.a.;Yes;Yes;No;Yes
Pd1 Se2;78;1.3.406;n.a.;https://c2db.fysik.dtu.dk/material/1PdSe2-2;0.2297;0.2998;TI;NLC;SM;ESFD;n.a.;n.a.;Yes;No;No;No
I6 W2;79;1.3.418;n.a.;https://c2db.fysik.dtu.dk/material/2WI3-3;0.2059;0.2374;TI;SEBR;SM;ESFD;n.a.;n.a.;Yes;Yes;No;No
Ag2 Te1;80;1.3.420;n.a.;https://c2db.fysik.dtu.dk/material/1TeAg2-1;0.1371;0.1865;TI;SEBR;SM;ESFD;n.a.;n.a.;n.a.;Yes;Yes;No
As2 F2;15;1.3.5;n.a.;https://c2db.fysik.dtu.dk/material/2AsF-1;0.1339;0.1377;TI;NLC;SM;ES;n.a.;n.a.;n.a.;Yes;No;No
Se6 Ta4;18;1.3.50;n.a.;https://c2db.fysik.dtu.dk/material/2Ta2Se3-1;0.0328;0.1122;TI;SEBR;SM;ES;n.a.;n.a.;Yes;Yes;Yes;No
Bi2 Br2;15;1.3.6;n.a.;https://c2db.fysik.dtu.dk/material/2BiBr-1;0.6436;0.6711;TI;NLC;SM;ES;n.a.;n.a.;n.a.;Yes;No;Yes
Se8 Sn2 Ta4;44;1.3.63;n.a.;https://c2db.fysik.dtu.dk/material/2SnTa2Se4-1;0.0192;0.0263;TI;NLC;SM;ES;n.a.;n.a.;n.a.;Yes;No;No
Br2 Rh2 S2;46;1.3.69;n.a.;https://c2db.fysik.dtu.dk/material/2BrRhS-1;0.0373;0.0384;TI;SEBR;SM;ES;n.a.;n.a.;Yes;Yes;No;No
Br2 Sb2;15;1.3.7;n.a.;https://c2db.fysik.dtu.dk/material/2BrSb-1;0.2826;0.2826;TI;NLC;SM;ES;n.a.;n.a.;n.a.;Yes;No;Yes
Cl2 Rh2 S2;46;1.3.74;n.a.;https://c2db.fysik.dtu.dk/material/2ClRhS-2;0.0071;0.0071;TI;SEBR;SM;ES;n.a.;n.a.;Yes;Yes;No;No
Co2 F2 O2;46;1.3.76;n.a.;https://c2db.fysik.dtu.dk/material/2CoFO-1;0.0058;0.0062;TI;SEBR;SM;ES;n.a.;n.a.;Yes;Yes;No;No
F2 Rh2 S2;46;1.3.81;n.a.;https://c2db.fysik.dtu.dk/material/2FRhS-2;0.0099;0.0099;TI;SEBR;SM;ES;n.a.;n.a.;Yes;Yes;Yes;No
Hf2 Se10;46;1.3.84;n.a.;https://c2db.fysik.dtu.dk/material/2HfSe5-1;0.19;0.19;TI;SEBR;SM;ES;n.a.;n.a.;Yes;Yes;No;No
I2 N2 Ti2;46;1.3.86;27394;https://c2db.fysik.dtu.dk/material/2INTi-1;0.0151;0.0151;TI;SEBR;SM;ES;n.a.;n.a.;Yes;Yes;No;No
Nb4 Pd2 Te10;46;1.3.94;n.a.;https://c2db.fysik.dtu.dk/material/2PdNb2Te5-1;0.0194;0.0675;TI;SEBR;SM;ES;n.a.;n.a.;Yes;Yes;No;No
Pt2 S2;64;1.4.118;n.a.;https://c2db.fysik.dtu.dk/material/2PtS-6;0.0091;0.0121;TI;SEBR;SM;ESFD;n.a.;n.a.;No;No;Yes;No
